time,robot_x,robot_y,robot_z,yaw,mode,obstacle_type,obstacle_x,obstacle_y,obstacle_z,obstacle_sx,obstacle_sy,obstacle_sz,target_x,target_y,target_z
0.032,0.264551,11.1698,0.6093245999031269,-1.5927318905562027,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.064,0.264550948958236,11.169797673477753,0.6036418998935996,-1.5928052471957035,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.096,0.2645506942194504,11.169786093423795,0.5957938214644021,-1.5928960634155536,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.128,0.2645499825011385,11.1697538399568,0.5864707691955853,-1.592989838767405,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.16,0.2645484609985746,11.169685109484687,0.5764701287682342,-1.5930766221066701,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.192,0.2645456789177634,11.169559820852522,0.5666237552981965,-1.5931525894467302,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.224,0.26454108923445646,11.169353711694818,0.5577234229719081,-1.5932183684636914,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.256,0.2645340502451371,11.169038418328258,0.5504543069325885,-1.5932754645469291,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.28800000000000003,0.264523826958754,11.168581544698577,0.5453456240582685,-1.593322548110852,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.32,0.2645095929312462,11.167946725212714,0.5427854408014215,-1.5933525171487315,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.352,0.2644904321255882,11.167093608110612,0.5429717592246087,-1.5933569577097928,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.384,0.264465346900125,11.165978023902225,0.5458387058481204,-1.593334453624427,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.41600000000000004,0.2644332805083983,11.164552805578422,0.5510592932092482,-1.5932930577459914,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.448,0.26439310971596797,11.162767401917671,0.5581052727984737,-1.593249210680823,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.48,0.2643436402420446,11.160567846428833,0.5663319019901508,-1.5932258062710996,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.512,0.2642835924773948,11.157896613962722,0.5750395424443995,-1.5932501505159302,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.544,0.2642122038143802,11.154720329171584,0.5835153650388627,-1.593341290775517,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.5760000000000001,0.26412968396375447,11.151050635972275,0.5910826385840631,-1.593522697409706,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.608,0.26403617832605575,11.146898543511938,0.5971574031124837,-1.5938060121406277,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.64,0.2639317636297017,11.142274477147433,0.6012927839892885,-1.5941874650866759,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.672,0.26381645499885903,11.137188445470334,0.6032096743538995,-1.5946457003647696,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.704,0.26369022663186215,11.131650370901545,0.6028133864843903,-1.5951473806687788,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.736,0.2635530413766263,11.12567051886671,0.600196916990725,-1.5956567274092208,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.768,0.2634048753256754,11.119259655095215,0.5956307778574402,-1.5961442060701774,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.8,0.26324573018109076,11.112428838154182,0.5895385652994454,-1.5965917175361508,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.8320000000000001,0.2630756368969252,11.105189136398236,0.5824589434874577,-1.596993243803914,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.864,0.2628946527513203,11.097551376643276,0.5749971201129263,-1.5973517576396723,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.896,0.26270285389425063,11.089525930395563,0.5677708877029881,-1.5976743287310153,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.928,0.26250032689298003,11.081122561969664,0.561357373028693,-1.5979673787675128,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.96,0.26228716317763207,11.07235038285224,0.5562462713121268,-1.5982329899147436,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
0.992,0.26206345960670935,11.063217953752623,0.5528036871679272,-1.5984678858836094,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.024,0.26182933057060404,11.053733728228993,0.5512493218833407,-1.5986673959956723,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.056,0.2615849221724543,11.043906536121789,0.5516604607802866,-1.5988312997754495,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.088,0.26133040480817044,11.03374528910054,0.5539591743711194,-1.598967690218126,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.12,0.2610659642124722,11.023258823773615,0.5579040208249834,-1.5990929807071423,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.1520000000000001,0.26079180944785374,11.01245660473592,0.563116022581743,-1.5992287582969908,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.184,0.2605081017382461,11.001346397493373,0.5691245300046344,-1.5993996963423482,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.216,0.2602149698808141,10.989935446569351,0.5754151057708204,-1.5996291449067435,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.248,0.25991250108141783,10.978230624564622,0.5814734034720899,-1.5999350480915622,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.28,0.2596007335403432,10.966238514649248,0.5868221821755052,-1.6003254415629176,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.312,0.2592796481089744,10.953965230597275,0.5910561935617146,-1.6007941041664635,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.344,0.2589491785052305,10.941416638095715,0.5938721889304767,-1.6013205771112913,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.3760000000000001,0.25860923094331634,10.928598624525737,0.5950898318519773,-1.601875828137327,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.408,0.25825970774897844,10.915517337812998,0.5946625297115934,-1.602429441968768,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.44,0.25790052908022565,10.902179331298584,0.5926776920424366,-1.6029559995805003,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.472,0.25753164794546274,10.888591574745098,0.5893463429751068,-1.6034388072169894,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.504,0.2571530564372924,10.874761336412762,0.584982696008279,-1.6038704645484732,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.536,0.2567647840291642,10.860695980785438,0.579975274221014,-1.6042509428525422,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.568,0.2563668907022647,10.846402741890918,0.5747521928474638,-1.6045844256328918,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.6,0.2559594583417409,10.83188852829617,0.5697439860868472,-1.604876117421209,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.6320000000000001,0.25554258354610404,10.81715980307299,0.5653476045640201,-1.6051293045689743,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.6640000000000001,0.2551163743148419,10.802222562625635,0.5618948736916609,-1.6053439178467166,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.696,0.2546809514139902,10.78708241068968,0.5596280256293467,-1.6055200829256364,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.728,0.25423645140373224,10.771744691309205,0.5586839190178697,-1.6056607077548086,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.76,0.25378303242996914,10.75621476813684,0.5590877672151611,-1.6057732891651217,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.792,0.25332088583446455,10.740498583848728,0.5607584325415188,-1.6058703893260244,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.824,0.25285020030400324,10.724601685324556,0.5635169449817254,-1.6059694358461962,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.856,0.252371140993464,10.708528870267543,0.5671012405281182,-1.6060900391903687,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.8880000000000001,0.2518838394981964,10.69228424001571,0.571190979074172,-1.6062509313976852,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.92,0.2513883894333756,10.67587141076246,0.5754379149892697,-1.606467229164187,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.952,0.2508848474504057,10.65929382186222,0.5794962289176683,-1.60674800094707,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
1.984,0.2503732344054611,10.642554921077211,0.5830489264907411,-1.6070933437847372,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.016,0.2498535301385154,10.625657965217991,0.5858311537619287,-1.6074917563832858,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.048,0.24932568542485128,10.608606169266269,0.5876493101624085,-1.607923552496901,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.08,0.24878963908167517,10.591402872455179,0.588393943184643,-1.6083654103710725,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.112,0.24824533586463707,10.574051667231645,0.5880456879517183,-1.6087951590513605,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.144,0.247692741456005,10.556556463111274,0.5866739163463323,-1.6091953327114055,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.176,0.24713185207621916,10.538921473567905,0.5844282517110367,-1.6095547221820714,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.208,0.24656269803136777,10.521151133154316,0.581523698194419,-1.609868041478209,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.24,0.24598534214350506,10.503249968221137,0.578220737400905,-1.6101343908907209,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.2720000000000002,0.24539987501964194,10.485222453362953,0.5748022341312138,-1.610355338887758,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.3040000000000003,0.24480640935993125,10.467072885657604,0.571549268336175,-1.6105332793112657,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.336,0.24420507510643008,10.448805300915286,0.568718028745445,-1.6106697242125683,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.368,0.2435960168261518,10.430423442710776,0.5665197036559936,-1.610766105075246,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.4,0.24297939273061603,10.411930778805152,0.5651050385283917,-1.610826164980526,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.432,0.2423553733397984,10.393330545131608,0.5645546472300804,-1.6108568435258672,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.464,0.24172413843733165,10.374625790835188,0.5648755912530814,-1.610868587755856,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.496,0.24108587143704546,10.355819402501345,0.5660041875426652,-1.6108747791218236,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.528,0.24044075559894007,10.336914227733514,0.5678145683918133,-1.6108902151905198,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
